PleiadesId,SiteURN,EnglishForm,NormalizedForm,Comments
http://pleiades.stoa.org/places/501625,urn:cite:phoros:places.1,Stageira,σταγιρῖται,
"http://pleiades.stoa.org/places/507450",urn:cite:phoros:places.2,Pharbelos,φαρβήλιοι,
,urn:cite:phoros:places.3,Elaia,ἐλαῦται (παρὰ μύριναν),
http://pleiades.stoa.org/places/599612,urn:cite:phoros:places.4,Ephesos,ἐφέσιοι,
,urn:cite:phoros:places.5,Ainos,αἴνιοι,remarkable successive lowerings attributed to the rise of Odrysian power
,urn:cite:phoros:places.6,Naxia,ναξιᾶται,
,urn:cite:phoros:places.7,Madnasa/Medmassa,μαδνασῆς,
,urn:cite:phoros:places.8,Therma in Ikaros,θερμαῖοι ἐξ ἰκάρου (ἐκάρου),
,urn:cite:phoros:places.9,Skione,σκιωναῖοι,
,urn:cite:phoros:places.10,Therambos,θραμβαῖοι,
,urn:cite:phoros:places.11,Pitane,πιταναῖοι ,
,urn:cite:phoros:places.12,Thyssos,θύσσιοι,
,urn:cite:phoros:places.13,Torone,τοροωναῖοι,
,urn:cite:phoros:places.14,Sane,σαναῖοι,
,urn:cite:phoros:places.15,Olophyxos,ὀλοφύξιοι (ἐξ ἄθω),
,urn:cite:phoros:places.16,Dion,διῆς,
,urn:cite:phoros:places.17,Sambaktos,σαμβακτύς,
,urn:cite:phoros:places.18,Chersonese,χερρονησῖται (ἀπ’ ἀγορᾶς),
,urn:cite:phoros:places.19,Abydos,ἀβυδηνοί,
,urn:cite:phoros:places.20,Kameiros,καμειρῆς,Rhodes
,urn:cite:phoros:places.21,Krya,κρυῆς ἀπὸ καρίας,
,urn:cite:phoros:places.22,Peparethos,πεπαρήθιοι,
,urn:cite:phoros:places.23,Kolophon,κολοφώνιοι,
,urn:cite:phoros:places.24,Notion,νοτιῆς ,
,urn:cite:phoros:places.25,Diosera,διοσερῖται,
http://pleiades.stoa.org/places/491729,urn:cite:phoros:places.26,Spartolos,σπαρτώλιοι,
,urn:cite:phoros:places.27,Hairai,αἱραῖοι,
,urn:cite:phoros:places.28,Lindos Oiai,λινδίων οἰιᾶται,Rhodes
,urn:cite:phoros:places.29,Astakos,ἀστακηνοί,
,urn:cite:phoros:places.30,Neapolis,νεάπολις,??
,urn:cite:phoros:places.31,Maiandros,μαιάνδριοι,
,urn:cite:phoros:places.32,Maroneia,μαρωνῖται,
,urn:cite:phoros:places.33,Lindos,λίνδιοι,Rhodes
,urn:cite:phoros:places.34,Oine in Ikaros,οἰναῖοι ἐξ ἰκάρου,
,urn:cite:phoros:places.35,Assos,ἥσσιοι,
,urn:cite:phoros:places.36,Neandreia,νεάνδρεια,
,urn:cite:phoros:places.37,Lamponeia,λαμπώνεια,
,urn:cite:phoros:places.38,Halikarnassos,ἁλικαρνάσσιοι,
,urn:cite:phoros:places.39,Strepsa,στρεψαῖοι,
,urn:cite:phoros:places.40,Palepsos,,"couldn't find in gazetteer?"
,urn:cite:phoros:places.41,Kyrbissos,κυρβισσός,
,urn:cite:phoros:places.42,Diduma Teichos,διδυμοτειχῖται,"Twin Forts"
,urn:cite:phoros:places.43,Dikaiopolis,δικαιαοπολῖται (ἐρετριῶν ἄποικοι),
,urn:cite:phoros:places.44,Klazomenia,κλαζομένιοι,
,urn:cite:phoros:places.45,Argilos,ἀργίλιοι,
,urn:cite:phoros:places.46,Karbasyanda,καρβασυανδῆς παρὰ καῦνον,
,urn:cite:phoros:places.47,Phaselis,φασηλῖται,
,urn:cite:phoros:places.48,Termera,τερμερῆς,
,urn:cite:phoros:places.49,Kebrene,κεβρήνιοι,
,urn:cite:phoros:places.50,Kasolaba,κασολαβῆς,
,urn:cite:phoros:places.51,Dikaia by Abdera,δίκαια παρ’ ἄβδηρα,
,urn:cite:phoros:places.52,Abdera,ἀβδηρῖται,rough breathing
,urn:cite:phoros:places.53,Olynthos,ὀλύνθιοι,
,urn:cite:phoros:places.54,Skabla,σκαβλαῖοι,
,urn:cite:phoros:places.55,Asseritis,ἀσσηρῖται,
,urn:cite:phoros:places.56,Sermylia,σερμυλιῆς,
,urn:cite:phoros:places.57,Mekyberna,μεκυβερναῖοι,
,urn:cite:phoros:places.58,Stolos,στώλιοι,
,urn:cite:phoros:places.59,Polichne,πολιχνῖται,
,urn:cite:phoros:places.60,Singos,σίγγιοι,
,urn:cite:phoros:places.61,Thasos,θάσιοι,
,urn:cite:phoros:places.62,Mysia,μυσοὶ,??
,urn:cite:phoros:places.63,Pikres Syangela,πίκρης συαγγελῆς,"πίγρης,  πίτρης"
,urn:cite:phoros:places.64,Kedriai,κεδριᾶται ἀπὸ καρίας,
,urn:cite:phoros:places.65,Keramos,κεράμιοι,
,urn:cite:phoros:places.66,Boutheia,βουθειῆς ἐρυθαίων,
,urn:cite:phoros:places.67,Kyllandos,κυλλάνδιοι,
,urn:cite:phoros:places.68,Chios in Karia,χῖοι κᾶρες,
,urn:cite:phoros:places.69,Bolbai,βολβαιῆς,
,urn:cite:phoros:places.70,Narisbara/Narasa/Narasar,ναρισβαρῆς,
,urn:cite:phoros:places.71,Mydon,μυδονῆς,identified with Amyzon from Hellenistic and Roman times
,urn:cite:phoros:places.72,Kios,κιανοί,
,urn:cite:phoros:places.73,Artake,ἀρτακηνοί,
,urn:cite:phoros:places.74,Neapolis in Thrace,νεάπολις,??
,urn:cite:phoros:places.75,Berytis below Mt. Ida,βηρύσιοι ὑπὸ τῇ ἴδῃ,
,urn:cite:phoros:places.76,Auliataι Kares,αὐλιᾶται κᾶρες,"in 7, II, 7 2ritten as Οὐλιᾶται "
,urn:cite:phoros:places.77,Ios,ἰᾶται,spelled ΙΕΤΑΙ in year 5
,urn:cite:phoros:places.78,Parion,παριανοί,
,urn:cite:phoros:places.79,Daskyleion in Propontidi,δασκύλειον ἐν προποντίδι,
,urn:cite:phoros:places.80,Aigina,αἰγινῆται,
,urn:cite:phoros:placehttps://github.com/neelsmiths.81,Lero,λέρος /Year 1: μιλήσιοι ἐξ λέρου,see note in gazetteer about Miletos
,urn:cite:phoros:places.82,Teichioussa,"τειχιοῦσσα/Year 1:μιλήσιοι ἐξ τειχιόσσες ",
,urn:cite:phoros:places.83,Lepsimandos,ληψιμάνιοι,"variant spellings (-ιμανδες,  -ιμανδοι, -υανδες)"
,urn:cite:phoros:places.84,Erine,ἐρινῆς,
,urn:cite:phoros:places.85,Amynanda,ἀμυνανδῆς,
,urn:cite:phoros:places.86,Paktyes Idyma,πακτύης ἰδυμεύς,
,urn:cite:phoros:places.87,Uranium,οὐρανιῆται,
,urn:cite:phoros:places.88,Oula,οὐλαιῆς,
,urn:cite:phoros:places.89,Tarbana,ταρβανῆς,
,urn:cite:phoros:places.90,Kodapa,κοδαπῆς,site unknown
,urn:cite:phoros:places.91,Arisbe,ἀρισβαῖοι,
,urn:cite:phoros:places.92,Astypalaia,ἀστυπαλαιῆς,
,urn:cite:phoros:places.93,Samothraki,σαμοθρᾷκες,
,urn:cite:phoros:places.94,Hephaistia,ἡφαιστιῆς (οἱ ἐν λήμνῳ),Why no rough breathing?
,urn:cite:phoros:places.95,Lampsakos,λαμψακηνοί,
,urn:cite:phoros:places.96,Myndos,μύνδιοι (παρὰ τέρμερα),
,urn:cite:phoros:places.97,Gryneion,γρυνειῆς,
,urn:cite:phoros:places.98,Pelen/Pyli,πελειᾶται,
,urn:cite:phoros:places.99,Latmos,λάτμιοι,
,urn:cite:phoros:places.100,Pedasa,πηδασῆς,
,urn:cite:phoros:places.101,Priene,πριανῆς,
,urn:cite:phoros:places.102,Kindya,κινδυῆς,
,urn:cite:phoros:places.103,Bargylia,βαργυλιῆς,
,urn:cite:phoros:places.104,Astyra,ἄστυρα,
,urn:cite:phoros:places.105,Aphytis,ἀφυταῖοι,
,urn:cite:phoros:places.106,Lemnos,λήμνιοι,
,urn:cite:phoros:places.107,Tenedos,τενέδιοι,
,urn:cite:phoros:places.108,Pentinos,??,
,urn:cite:phoros:places.109,Kalymna,καλύδνιοι,
,urn:cite:phoros:places.110,Kaunos,καύνιοι,
,urn:cite:phoros:places.111,Karyanda,καρυανδῆς,
,urn:cite:phoros:places.112,Mende,μενδαῖοι,
,urn:cite:phoros:places.113,Kampsa,σκαψαῖοι,
,urn:cite:phoros:places.114,Mykonos,μυκόνιοι,
,urn:cite:phoros:places.115,Kalchedon,χαλχηδόνιοι,
,urn:cite:phoros:places.116,Paisos,παισηνοί,
,urn:cite:phoros:places.117,Miletos,μιλήσιοι,
,urn:cite:phoros:places.118,Gargara,γαργαρῆς,
,urn:cite:phoros:places.119,Myous,μυήσσιοι,
,urn:cite:phoros:places.120,Myrina,μυριναῖοι,?????
,urn:cite:phoros:places.121,Athenai Diades,ἀθῆναι διάδες,
,urn:cite:phoros:places.122,Alopekonnesos,ἀλωποκοννήσιοι,
,urn:cite:phoros:places.123,Perkote,περκώσιοι,consider together with παλαιπερκωσιοι
,urn:cite:phoros:places.124,Nisyros,νισύριοι,
,urn:cite:phoros:places.125,Knidos,κνίδιοι,
,urn:cite:phoros:places.126,Pyrnos,πύρνιοι,
,urn:cite:phoros:places.127,Priapos,πριαπῆς (παρὰ πάριον),
,urn:cite:phoros:places.128,Ialysos,ἰηλύσιοι,Rhodes
,urn:cite:phoros:places.129,Prokonnesos,προκοννήσιοι,
,urn:cite:phoros:places.130,Daunion/Damnion,δαυνιοτειχῖταί/δαμνιοτειχῖται,
,urn:cite:phoros:places.131,Skepsis,σκάψιοι,"form variations: σκήψιοι, σκήμψιοι",
,urn:cite:phoros:places.132,Azeia,ἀζειοί,
,urn:cite:phoros:places.133,Berge,βεργαῖοι,
,urn:cite:phoros:places.134,Tyrodiza,τυρόδιζα,
,urn:cite:phoros:places.135,Syros,σύριοι,
,urn:cite:phoros:places.136,Kyme,κυμαῖοι,
,urn:cite:phoros:places.137,Perinthos,περίνθιοι,
,urn:cite:phoros:places.138,Phokaia,φωκαιῆς,
,urn:cite:phoros:places.139,Byzantion,βυζάντιοι,
,urn:cite:phoros:places.140,Kyzikos,κυζικηνοί,
,urn:cite:phoros:places.141,Telmessos/Telemessos,τελεμήσσιοι,Lykian
,urn:cite:phoros:places.142,Lykia,λύκιοι,
,urn:cite:phoros:places.143,Aige,αἰγάντιοι,
,urn:cite:phoros:places.144,Neapolis from Pallene ,νεάπολις,̣??
,urn:cite:phoros:places.145,Andros,ἄνδριοι,
,urn:cite:phoros:places.146,Seriphos ,σερίφιοι,
,urn:cite:phoros:places.147,Koresos/κορεσια,κορήσιοι,
,urn:cite:phoros:places.148,Rheneia,ῥηναιῆς,
,urn:cite:phoros:places.149,Karystos,καρύστιοι,
,urn:cite:phoros:places.150,Grynche,γρυνχῆς,
,urn:cite:phoros:places.151,Parparos,παρπαριῶται,
,urn:cite:phoros:places.152,Teos,τῄϊοι,
,urn:cite:phoros:places.153,Palaiperkote,παλαιπερκώσιοι,
,urn:cite:phoros:places.154,Polichne in Karia,πολιχναῖοι κᾶρες,the site is unknown
,urn:cite:phoros:places.155,Pasanda,πασανδῆς (ἀπὸ καύνου),
,urn:cite:phoros:places.156,Phegetioi,φηγήτιοι,"form variations: φεγέτιοι, φεγέντιοι, φεγόντιο",
,urn:cite:phoros:places.157,Ikos,ἴκιοι,
,urn:cite:phoros:places.158,Dardanos,δαρδανῆς,
,urn:cite:phoros:places.159,Selymbria,σηλυμβριανοί,extraordinary variations of tribute
,urn:cite:phoros:places.160,Kos,κῷοι,
,urn:cite:phoros:places.161,Humisses,ὑμισσῆς,unknown site
,urn:cite:phoros:places.162,Aison,αἱσώνιοι,rough breathing
,urn:cite:phoros:places.163,Thasthara,θασθαρῆς,
,urn:cite:phoros:places.164,Chersonesos,χερρονήσιοι,
,urn:cite:phoros:places.165,Alinda,ἀλινδῆς,
,urn:cite:phoros:places.166,Keos/Kea,κεῖοι,
,urn:cite:phoros:places.167,Chalketor,χαλκητορῆς,
,urn:cite:phoros:places.168,Kudaies/Hudaies,κυδαιῆς,equated with ὑδαιες  of A9
,urn:cite:phoros:places.169,Hyblisses,ὑβλισσῆς,unknown site
,urn:cite:phoros:places.170,Killares,κιλλαρῆς,
,urn:cite:phoros:places.171,Thydonos,θύδονος,
,urn:cite:phoros:places.172,Silos,σίλοι,site unknown
,urn:cite:phoros:places.173,Telandros,τηλάνδριοι,
,urn:cite:phoros:places.174,Lebedos,λεβέδιοι,
,urn:cite:phoros:places.175,Chalke,χαλκειᾶται,
,urn:cite:phoros:places.176,Mylasa,μυλασῆς,modern Milas
,urn:cite:phoros:places.177,Sidousa,σιδούσιοι (ἐρυθραίων),
,urn:cite:phoros:places.178,Pteleon,πτελεούσιοι (ἐρυθραίων),
,urn:cite:phoros:places.179,Karpathos,καρπάθιοι,
,urn:cite:phoros:places.180,Arkaseia,ἀρκέσσεια,
,urn:cite:phoros:places.181,Hulimes,ὑλιμῆς ,
,urn:cite:phoros:places.182,Aineia,αἰνειᾶται,
,urn:cite:phoros:places.183,Neapolis by Antisara,νεάπολις παρ’ ἀντισάραν,
,urn:cite:phoros:places.184,Akanthos,ἀκάνθιοι,
,urn:cite:phoros:places.185,Pargasa,παργασῆς,
,urn:cite:phoros:places.186,Gentinos,γεντίνιοι,
,urn:cite:phoros:places.187,Skiathos,σκιάθιοι,
,urn:cite:phoros:places.188,Serme,σερμαῖοι,aka Therme
,urn:cite:phoros:places.189,Erodos,ἐρόδιοι,
,urn:cite:phoros:places.190,Tenos,τήνιοι,
,urn:cite:phoros:places.191,Siphnos,σίφνιοι,
,urn:cite:phoros:places.192,Paros,πάριοι,
,urn:cite:phoros:places.193,Sigeion,σιγειῆς,
,urn:cite:phoros:places.194,Kythnos,κύθνιοι,
,urn:cite:phoros:places.195,Styra,στυρῆς,
,urn:cite:phoros:places.196,Hestiaia,ἑστιαιῆς,
,urn:cite:phoros:places.197,Naxos,νάξιοι,
