URN,Caption,Rights
urn:cite:shotimg:atl.DSCN8656,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8667,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8690,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8710,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0813,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8644,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8646,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8665,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8663,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8668,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8691,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8701,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0814,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8647,Stele inscribed on both sides with accounts of the treasurers of the sacred funds of Athena from the Acropolis (418/17-415/14 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8654,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8693,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8708,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8709,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.6849,The Springhouse (437/6?),Copyright Christine Roughan; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0815,Regulations for Miletus (450/49),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0816,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8655,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8657,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8664,Part of a stele with an account of the treasurers of Athena concerning mostly war expenses for the expeditions to Macedonia and the Peloponnese (432/1 B.C),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8669,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8700,"3rd stele with the tribute lists of the year 430/29 B.C., which was the 25th year of the board of Hellenotamiai since 454 B.C., when the league treasury was transferred from Delos to Athens",Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8702,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8658,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8689,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0817,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8659,Stele inscribed on both sides with successive entries of the handing over of sacred ex-votos in the Parthenon by the treasurers of Athena to their successors (434/3-412/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8661,Part of a stele with an entry of the handing over of precious ex-votos in the pronaos (vestibule of the Parthenon) by the treasurers of Athena to their successors (411/0 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8703,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8704,Decree of the Athenians regulating the reassessment and increase of the tribute paid by the allied cities (425/4 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0818,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8662,Part of a stele with an entry of the handing over of precious ex-votos in the pronaos (vestibule of the Parthenon) by the treasurers of Athena to their successors (411/0 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8666,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8670,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8692,Stele with accounts of the public accountants (logistai) regarding the handling of the sacred money of Athena and of other gods by the treasurers (426/5-423/2 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8705,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8711,Part of a stele on which a decree of the Athenians was inscribed regulating the reassessment of the tribute to be paid by the allied cities (422/1 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0819,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0820,The Collectors of Tribute (426/5),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0828,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8671,Stele with the text of a treaty between Athenians and Milesians (450/49 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8699,"3rd stele with the tribute lists of the year 430/29 B.C., which was the 25th year of the board of Hellenotamiai since 454 B.C., when the league treasury was transferred from Delos to Athens",Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8706,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSCN8707,1st stele of the tribute lists (454/3-440/39 B.C.),Copyright Tom Arralde; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0829,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.IMG_0830,Athens and Lesbos (427/6),Copyright Megan Whitacre; available under Creative Commons Share-Alike license.
urn:cite:shotimg:atl.DSC_2908,Stele 1 left lateral face- bottom,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2913,"Stele 1 left lateral face (stones 141,57,177)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2957,"Stele 2 left lateral face top (stones 14, 16, 65, 5)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2907,Stele 1- left lateral face-bottom (stone 157),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2910,"Stele 1 left lateral face (stones 153, 178)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2915,Stele 1 left lateral face (stone 118),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2903,Stele 1 right lateral face (stone 83),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5240,"Stele 1 obverse (stones 70,71,72,73,75,76)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5249,"Stele 1 reverse (stones 147,148,149,150,151,89)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2958,"Stele 2 left lateral face middle (stones 18, 35, 39, 9, 66, 10)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2959,Stele 2 left lateral face bottom,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2963,Stele 2 upper left (stone 3),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2905,"Stele 1 right lateral face (stones 79,80,81)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5237,"Stele 1 obverse face (stones 48,55,70,73,75)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5243,"Stele 1 reverse face (Stones 79,97,98,99,101,102,104,105,106,107,113)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5255,"Stele 1 reverse (stones 127,87,137,88,142,144,147)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2967,"Stele 2- upper left (stones 1,2,3,5,6)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2918,"Stele 1 left lateral face (stones 116, 117, 171)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2902,"Stele 1 right lateral face (stones 79, 78, 80, 39, 40, 81, 82, 83)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5239,"Stele 1 obverse face (stones 67,68,69,70,71,72)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5256,"Stele 1 reverse (stones 127,128,134)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2975,"Stele 2 right lateral face-top (stones 4,13)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5233,"Stele 1 obverse face (stones 28,29,30,32,33,34,35)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5245,"Stele 1 reverse face (stones 111,112,114,119,120,121,122,123,124,125,126)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5248,"Stele 1 reverse face (126,135,136,140,141)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2973,"Stele 2 right lateral face bottom (stones 12, 71, 72, 19)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2904,"Stele 1 right lateral face (stones 40, 82)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5235,"Stele 1 obverse face (stones 57,59,60,61)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5257,"Stele 1 reverse face (stones 135,136,140,141)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2909,"Stele 1 left lateral face (stones 179, 156, 180, 63)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2914,"Stele 1 left lateral face (stones 177, 136, 176)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5241,Stele 1 obverse- overview of bottom half,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5242,"Stele 1 reverse face (stones 11,90,91,92,93,96)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5254,"Stele 1 reverse face (153,156,157)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2901,"Stele 1 right lateral face (stones 45, 84, 85, 86, 56)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5232,"Stele 1 obverse face (stones 7,8,10,12,14,15,16,17,18,20,21,22)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5244,"Stele 1 reverse face (stones 83,110,111,112,119)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5246,"Stele 1 reverse face (stones 127,128,134,87,137,142,88,147,144)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5250,"Stele 1 reverse (139,152,153,154,155,156,157)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5231,Stele 1 obverse face (topmost stones),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5252,Stele 1 reverse face (stone 152),Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5236,"Stele 1 obverse face (stones 46,47,49,50,51)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5247,"Stele 1 reverse face (134,139)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_5258,"Stele 1 reverse face (stones 115,116,117,118)",Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2919,Stele 1 left lateral face overview,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
urn:cite:shotimg:atl.DSC_2920,Stele 1 left lateral face overview,Copyright Christine Bannan; available under Creative Commons Attribution Share-Alike license.
