urn:cts:phoros:stele1.year1:front.1.14,urn:cite:phoros:places.1
urn:cts:phoros:stele1.year4:front.1.29,urn:cite:phoros:places.90
urn:cts:phoros:stele1.year4:front.1.30,urn:cite:phoros:places.100
urn:cts:phoros:stele1.year4:front.1.31,urn:cite:phoros:places.38
urn:cts:phoros:stele1.year4:front.1.32,urn:cite:phoros:places.67
urn:cts:phoros:stele1.year4:front.1.33,urn:cite:phoros:places.41
urn:cts:phoros:stele1.year4:front.2.2,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year4:front.2.3,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year4:front.2.4,urn:cite:phoros:places.46
urn:cts:phoros:stele1.year4:front.2.5,urn:cite:phoros:places.21
urn:cts:phoros:stele1.year4:front.2.6,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year4:front.2.7,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year4:front.2.8,urn:cite:phoros:places.151
urn:cts:phoros:stele1.year4:front.2.9,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year4:front.2.10,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year4:front.2.11,urn:cite:phoros:places.48
urn:cts:phoros:stele1.year4:front.2.12,urn:cite:phoros:places.152
urn:cts:phoros:stele1.year4:front.2.13,urn:cite:phoros:places.148
urn:cts:phoros:stele1.year4:front.2.14,urn:cite:phoros:places.153
urn:cts:phoros:stele1.year4:front.2.15,urn:cite:phoros:places.20
urn:cts:phoros:stele1.year4:front.2.16,urn:cite:phoros:places.99
urn:cts:phoros:stele1.year4:front.2.26,urn:cite:phoros:places.60
urn:cts:phoros:stele1.year4:front.2.27,urn:cite:phoros:places.32
urn:cts:phoros:stele1.year4:front.2.28,urn:cite:phoros:places.56
urn:cts:phoros:stele1.year4:front.2.29,urn:cite:phoros:places.12
urn:cts:phoros:stele1.year4:front.2.30,urn:cite:phoros:places.136
urn:cts:phoros:stele1.year4:front.2.31,urn:cite:phoros:places.109
urn:cts:phoros:stele1.year4:front.2.32,3
urn:cts:phoros:stele1.year4:front.2.33,urn:cite:phoros:places.154
urn:cts:phoros:stele1.year4:front.3.22,urn:cite:phoros:places.55
urn:cts:phoros:stele1.year4:front.3.23,urn:cite:phoros:places.155
urn:cts:phoros:stele1.year4:front.3.24,urn:cite:phoros:places.11
urn:cts:phoros:stele1.year4:front.3.25,urn:cite:phoros:places.103
urn:cts:phoros:stele1.year4:front.3.26,urn:cite:phoros:places.96
urn:cts:phoros:stele1.year4:front.3.27,urn:cite:phoros:places.93
urn:cts:phoros:stele1.year4:front.3.28,urn:cite:phoros:places.58
urn:cts:phoros:stele1.year4:front.3.29,urn:cite:phoros:places.156
urn:cts:phoros:stele1.year4:front.4.2,urn:cite:phoros:places.157
urn:cts:phoros:stele1.year4:front.4.3,urn:cite:phoros:places.22
urn:cts:phoros:stele1.year4:front.4.4,urn:cite:phoros:places.61
urn:cts:phoros:stele1.year4:front.4.5,urn:cite:phoros:places.95
urn:cts:phoros:stele1.year4:front.4.6,urn:cite:phoros:places.24
urn:cts:phoros:stele1.year4:front.4.7,urn:cite:phoros:places.3
urn:cts:phoros:stele1.year4:front.4.8,urn:cite:phoros:places.116
urn:cts:phoros:stele1.year4:front.4.9,urn:cite:phoros:places.123
urn:cts:phoros:stele1.year4:front.4.10,urn:cite:phoros:places.158
urn:cts:phoros:stele1.year4:front.4.11,urn:cite:phoros:places.23
urn:cts:phoros:stele1.year4:front.4.12,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year4:front.4.13,urn:cite:phoros:places.6
urn:cts:phoros:stele1.year4:front.4.14,urn:cite:phoros:places.159
urn:cts:phoros:stele1.year4:front.4.15,urn:cite:phoros:places.160
urn:cts:phoros:stele1.year4:front.4.16,urn:cite:phoros:places.53
urn:cts:phoros:stele1.year4:front.4.17,urn:cite:phoros:places.54
urn:cts:phoros:stele1.year4:front.4.18,urn:cite:phoros:places.39
urn:cts:phoros:stele1.year4:front.4.19,urn:cite:phoros:places.161
urn:cts:phoros:stele1.year4:front.4.20,urn:cite:phoros:places.86
urn:cts:phoros:stele1.year4:front.4.21,urn:cite:phoros:places.35
urn:cts:phoros:stele1.year4:front.4.22,urn:cite:phoros:places.36
urn:cts:phoros:stele1.year4:front.4.23,urn:cite:phoros:places.37
urn:cts:phoros:stele1.year4:front.4.24,urn:cite:phoros:places.133
urn:cts:phoros:stele1.year4:front.4.25,urn:cite:phoros:places.19
urn:cts:phoros:stele1.year4:front.4.26,urn:cite:phoros:places.65
urn:cts:phoros:stele1.year4:front.4.27,urn:cite:phoros:places.162
urn:cts:phoros:stele1.year4:front.4.28,urn:cite:phoros:places.70
urn:cts:phoros:stele1.year4:front.4.29,urn:cite:phoros:places.163
urn:cts:phoros:stele1.year4:front.4.30,urn:cite:phoros:places.120
urn:cts:phoros:stele1.year4:front.4.32,urn:cite:phoros:places.132
urn:cts:phoros:stele1.year4:front.5.2,urn:cite:phoros:places.128
urn:cts:phoros:stele1.year4:front.5.3,urn:cite:phoros:places.26
urn:cts:phoros:stele1.year4:front.5.21,urn:cite:phoros:places.165
urn:cts:phoros:stele1.year4:front.5.22,urn:cite:phoros:places.166
urn:cts:phoros:stele1.year4:front.5.24,urn:cite:phoros:places.167
urn:cts:phoros:stele1.year4:front.5.25,urn:cite:phoros:places.168
urn:cts:phoros:stele1.year4:front.5.26,urn:cite:phoros:places.169
urn:cts:phoros:stele1.year4:front.5.27,urn:cite:phoros:places.87
urn:cts:phoros:stele1.year4:front.5.28,urn:cite:phoros:places.170
urn:cts:phoros:stele1.year4:front.5.29,urn:cite:phoros:places.171
urn:cts:phoros:stele1.year4:front.5.30,urn:cite:phoros:places.172
urn:cts:phoros:stele1.year4:front.5.31,urn:cite:phoros:places.173
urn:cts:phoros:stele1.year4:front.5.32,urn:cite:phoros:places.141
urn:cts:phoros:stele1.year4:front.5.33,urn:cite:phoros:places.142
urn:cts:phoros:stele1.year5:front.1.2,urn:cite:phoros:places.164
urn:cts:phoros:stele1.year5:front.1.3,urn:cite:phoros:places.126
urn:cts:phoros:stele1.year5:front.1.4,urn:cite:phoros:places.125
urn:cts:phoros:stele1.year5:front.1.5,urn:cite:phoros:places.46
urn:cts:phoros:stele1.year5:front.1.6,urn:cite:phoros:places.21
urn:cts:phoros:stele1.year5:front.1.7,urn:cite:phoros:places.160
urn:cts:phoros:stele1.year5:front.1.8,urn:cite:phoros:places.155
urn:cts:phoros:stele1.year5:front.1.9,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year5:front.1.10,urn:cite:phoros:places.175
urn:cts:phoros:stele1.year5:front.1.11,urn:cite:phoros:places.128
urn:cts:phoros:stele1.year5:front.1.12,urn:cite:phoros:places.176
urn:cts:phoros:stele1.year5:front.1.13,urn:cite:phoros:places.20
urn:cts:phoros:stele1.year5:front.1.14,urn:cite:phoros:places.63
urn:cts:phoros:stele1.year5:front.1.15,urn:cite:phoros:places.63
urn:cts:phoros:stele1.year5:front.2.2,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year5:front.2.3,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year5:front.2.4,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year5:front.2.5,urn:cite:phoros:places.27
urn:cts:phoros:stele1.year5:front.2.6,urn:cite:phoros:places.174
urn:cts:phoros:stele1.year5:front.2.7,urn:cite:phoros:places.109
urn:cts:phoros:stele1.year5:front.2.8,urn:cite:phoros:places.151
urn:cts:phoros:stele1.year5:front.2.9,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year5:front.2.10,urn:cite:phoros:places.152
urn:cts:phoros:stele1.year5:front.2.11,urn:cite:phoros:places.96
urn:cts:phoros:stele1.year5:front.2.12,urn:cite:phoros:places.96
urn:cts:phoros:stele1.year5:front.2.14,urn:cite:phoros:places.154
urn:cts:phoros:stele1.year5:front.2.15,urn:cite:phoros:places.177
urn:cts:phoros:stele1.year5:front.2.16,urn:cite:phoros:places.178
urn:cts:phoros:stele1.year5:front.2.17,urn:cite:phoros:places.66
urn:cts:phoros:stele1.year5:front.2.26,urn:cite:phoros:places.179
urn:cts:phoros:stele1.year5:front.2.27,urn:cite:phoros:places.180
urn:cts:phoros:stele1.year5:front.2.28,urn:cite:phoros:places.120
urn:cts:phoros:stele1.year5:front.2.29,urn:cite:phoros:places.35
urn:cts:phoros:stele1.year5:front.2.30,urn:cite:phoros:places.25
urn:cts:phoros:stele1.year5:front.2.31,urn:cite:phoros:places.24
urn:cts:phoros:stele1.year5:front.2.32,urn:cite:phoros:places.50
urn:cts:phoros:stele1.year5:front.2.33,urn:cite:phoros:places.49
urn:cts:phoros:stele1.year5:front.2.34,urn:cite:phoros:places.36
urn:cts:phoros:stele1.year5:front.2.35,urn:cite:phoros:places.47
urn:cts:phoros:stele1.year5:front.2.36,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year5:front.2.37,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year5:front.2.38,urn:cite:phoros:places.167
urn:cts:phoros:stele1.year5:front.2.39,urn:cite:phoros:places.181
urn:cts:phoros:stele1.year5:front.2.40,urn:cite:phoros:places.168
urn:cts:phoros:stele1.year5:front.2.41,urn:cite:phoros:places.38
urn:cts:phoros:stele1.year5:front.3.8,urn:cite:phoros:places.182
urn:cts:phoros:stele1.year5:front.3.9,urn:cite:phoros:places.40
urn:cts:phoros:stele1.year5:front.3.10,urn:cite:phoros:places.43
urn:cts:phoros:stele1.year5:front.3.11,urn:cite:phoros:places.43
urn:cts:phoros:stele1.year5:front.3.12,urn:cite:phoros:places.14
urn:cts:phoros:stele1.year5:front.3.13,urn:cite:phoros:places.183
urn:cts:phoros:stele1.year5:front.3.14,urn:cite:phoros:places.183
urn:cts:phoros:stele1.year5:front.3.15,urn:cite:phoros:places.57
urn:cts:phoros:stele1.year5:front.3.16,urn:cite:phoros:places.54
urn:cts:phoros:stele1.year5:front.3.17,urn:cite:phoros:places.55
urn:cts:phoros:stele1.year5:front.3.18,urn:cite:phoros:places.156
urn:cts:phoros:stele1.year5:front.3.19,urn:cite:phoros:places.51
urn:cts:phoros:stele1.year5:front.3.20,urn:cite:phoros:places.51
urn:cts:phoros:stele1.year5:front.3.21,urn:cite:phoros:places.52
urn:cts:phoros:stele1.year5:front.3.22,urn:cite:phoros:places.32
urn:cts:phoros:stele1.year5:front.3.23,urn:cite:phoros:places.12
urn:cts:phoros:stele1.year5:front.3.24,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year5:front.3.25,urn:cite:phoros:places.93
urn:cts:phoros:stele1.year5:front.3.28,urn:cite:phoros:places.75
urn:cts:phoros:stele1.year5:front.3.29,urn:cite:phoros:places.75
urn:cts:phoros:stele1.year5:front.3.30,urn:cite:phoros:places.53
urn:cts:phoros:stele1.year5:front.3.31,urn:cite:phoros:places.39
urn:cts:phoros:stele1.year5:front.3.32,urn:cite:phoros:places.162
urn:cts:phoros:stele1.year5:front.3.33,urn:cite:phoros:places.158
urn:cts:phoros:stele1.year5:front.3.34,urn:cite:phoros:places.184
urn:cts:phoros:stele1.year5:front.3.35,urn:cite:phoros:places.48
urn:cts:phoros:stele1.year5:front.3.36,urn:cite:phoros:places.185
urn:cts:phoros:stele1.year5:front.3.37,urn:cite:phoros:places.137
urn:cts:phoros:stele1.year5:front.3.38,urn:cite:phoros:places.186
urn:cts:phoros:stele1.year5:front.3.39,urn:cite:phoros:places.107
urn:cts:phoros:stele1.year5:front.3.40,urn:cite:phoros:places.187
urn:cts:phoros:stele1.year5:front.3.41,urn:cite:phoros:places.131
urn:cts:phoros:stele1.year5:front.4.3,urn:cite:phoros:places.140
urn:cts:phoros:stele1.year5:front.4.4,urn:cite:phoros:places.129
urn:cts:phoros:stele1.year5:front.4.5,urn:cite:phoros:places.73
urn:cts:phoros:stele1.year5:front.4.8,urn:cite:phoros:places.159
urn:cts:phoros:stele1.year5:front.4.9,urn:cite:phoros:places.2
urn:cts:phoros:stele1.year5:front.4.10,urn:cite:phoros:places.95
urn:cts:phoros:stele1.year5:front.4.11,urn:cite:phoros:places.60
urn:cts:phoros:stele1.year5:front.4.12,urn:cite:phoros:places.79
urn:cts:phoros:stele1.year5:front.4.13,urn:cite:phoros:places.79
urn:cts:phoros:stele1.year5:front.4.14,urn:cite:phoros:places.188
urn:cts:phoros:stele1.year5:front.4.15,urn:cite:phoros:places.1
urn:cts:phoros:stele1.year5:front.4.16,urn:cite:phoros:places.29
urn:cts:phoros:stele1.year5:front.4.17,urn:cite:phoros:places.58
urn:cts:phoros:stele1.year5:front.4.18,urn:cite:phoros:places.189
urn:cts:phoros:stele1.year5:front.4.19,urn:cite:phoros:places.190
urn:cts:phoros:stele1.year5:front.4.20,urn:cite:phoros:places.191
urn:cts:phoros:stele1.year5:front.4.21,urn:cite:phoros:places.166
urn:cts:phoros:stele1.year5:front.4.22,urn:cite:phoros:places.145
urn:cts:phoros:stele1.year5:front.4.23,urn:cite:phoros:places.77
urn:cts:phoros:stele1.year5:front.4.24,urn:cite:phoros:places.192
urn:cts:phoros:stele1.year5:front.4.25,urn:cite:phoros:places.193
urn:cts:phoros:stele1.year5:front.4.26,urn:cite:phoros:places.149
urn:cts:phoros:stele1.year5:front.4.27,urn:cite:phoros:places.194
urn:cts:phoros:stele1.year5:front.4.28,urn:cite:phoros:places.195
urn:cts:phoros:stele1.year5:front.4.29,urn:cite:phoros:places.148
urn:cts:phoros:stele1.year5:front.4.30,urn:cite:phoros:places.146
urn:cts:phoros:stele1.year5:front.4.31,urn:cite:phoros:places.16
urn:cts:phoros:stele1.year5:front.4.32,urn:cite:phoros:places.121
urn:cts:phoros:stele1.year5:front.4.33,urn:cite:phoros:places.150
urn:cts:phoros:stele1.year5:front.4.34,urn:cite:phoros:places.196
urn:cts:phoros:stele1.year5:front.4.35,urn:cite:phoros:places.197
urn:cts:phoros:stele1.year5:front.4.39,urn:cite:phoros:places.80
urn:cts:phoros:stele1.year5:front.4.40,urn:cite:phoros:places.94
urn:cts:phoros:stele1.year5:front.4.41,urn:cite:phoros:places.120
urn:cts:phoros:stele1.year5:front.5.2,urn:cite:phoros:places.11
urn:cts:phoros:stele1.year5:front.5.3,urn:cite:phoros:places.19
urn:cts:phoros:stele1.year5:front.5.10,urn:cite:phoros:places.137
urn:cts:phoros:stele1.year5:front.5.11,urn:cite:phoros:places.84
urn:cts:phoros:stele1.year5:front.5.12,urn:cite:phoros:places.18
urn:cts:phoros:stele1.year5:front.5.13,urn:cite:phoros:places.198
urn:cts:phoros:stele1.year5:front.5.14,urn:cite:phoros:places.122
urn:cts:phoros:stele1.year5:front.5.15,urn:cite:phoros:places.107
urn:cts:phoros:stele1.year5:front.5.16,urn:cite:phoros:places.139
urn:cts:phoros:stele1.year5:front.5.17,urn:cite:phoros:places.115
urn:cts:phoros:stele1.year5:front.5.18,urn:cite:phoros:places.117
urn:cts:phoros:stele1.year5:front.5.19,urn:cite:phoros:places.99
urn:cts:phoros:stele1.year5:front.5.20,urn:cite:phoros:places.119
urn:cts:phoros:stele1.year5:front.5.21,urn:cite:phoros:places.199
urn:cts:phoros:stele1.year5:front.5.22,urn:cite:phoros:places.101
urn:cts:phoros:stele1.year5:front.5.23,urn:cite:phoros:places.102
urn:cts:phoros:stele1.year5:front.5.24,urn:cite:phoros:places.103
urn:cts:phoros:stele1.year5:front.5.25,urn:cite:phoros:places.111
urn:cts:phoros:stele1.year5:front.5.26,urn:cite:phoros:places.155
urn:cts:phoros:stele1.year5:front.5.27,urn:cite:phoros:places.7
urn:cts:phoros:stele1.year5:front.5.28,urn:cite:phoros:places.98
urn:cts:phoros:stele1.year5:front.5.29,urn:cite:phoros:places.4
urn:cts:phoros:stele1.year5:front.5.30,urn:cite:phoros:places.200
urn:cts:phoros:stele1.year5:front.5.40,urn:cite:phoros:places.160
urn:cts:phoros:stele1.year7:front.1.2,urn:cite:phoros:places.70
urn:cts:phoros:stele1.year7:front.1.3,urn:cite:phoros:places.107
urn:cts:phoros:stele1.year7:front.1.4,urn:cite:phoros:places.186
urn:cts:phoros:stele1.year7:front.1.5,urn:cite:phoros:places.1
urn:cts:phoros:stele1.year7:front.1.6,urn:cite:phoros:places.65
urn:cts:phoros:stele1.year7:front.1.7,urn:cite:phoros:places.20
urn:cts:phoros:stele1.year7:front.1.8,urn:cite:phoros:places.38
urn:cts:phoros:stele1.year7:front.1.9,urn:cite:phoros:places.120
urn:cts:phoros:stele1.year7:front.1.10,urn:cite:phoros:places.57
urn:cts:phoros:stele1.year7:front.1.11,urn:cite:phoros:places.202
urn:cts:phoros:stele1.year7:front.1.12,urn:cite:phoros:places.100
urn:cts:phoros:stele1.year7:front.1.13,urn:cite:phoros:places.136
urn:cts:phoros:stele1.year7:front.1.14,urn:cite:phoros:places.11
urn:cts:phoros:stele1.year7:front.1.15,urn:cite:phoros:places.97
urn:cts:phoros:stele1.year7:front.1.16,urn:cite:phoros:places.164
urn:cts:phoros:stele1.year7:front.1.17,urn:cite:phoros:places.126
urn:cts:phoros:stele1.year7:front.1.18,urn:cite:phoros:places.30
urn:cts:phoros:stele1.year7:front.1.19,urn:cite:phoros:places.67
urn:cts:phoros:stele1.year7:front.1.20,urn:cite:phoros:places.41
urn:cts:phoros:stele1.year7:front.1.21,urn:cite:phoros:places.68
urn:cts:phoros:stele1.year7:front.1.22,urn:cite:phoros:places.105
urn:cts:phoros:stele1.year7:front.1.23,urn:cite:phoros:places.203
urn:cts:phoros:stele1.year7:front.1.24,urn:cite:phoros:places.48
urn:cts:phoros:stele1.year7:front.1.25,urn:cite:phoros:places.204
urn:cts:phoros:stele1.year7:front.1.26,urn:cite:phoros:places.32
urn:cts:phoros:stele1.year7:front.1.27,urn:cite:phoros:places.8
urn:cts:phoros:stele1.year7:front.1.28,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year7:front.1.29,urn:cite:phoros:places.175
urn:cts:phoros:stele1.year7:front.1.31,urn:cite:phoros:places.174
urn:cts:phoros:stele1.year7:front.1.33,urn:cite:phoros:places.182
urn:cts:phoros:stele1.year7:front.1.34,urn:cite:phoros:places.162
urn:cts:phoros:stele1.year7:front.1.35,urn:cite:phoros:places.43
urn:cts:phoros:stele1.year7:front.1.36,urn:cite:phoros:places.43
urn:cts:phoros:stele1.year7:front.1.36,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year7:front.1.37,urn:cite:phoros:places.110
urn:cts:phoros:stele1.year7:front.2.2,urn:cite:phoros:places.6
urn:cts:phoros:stele1.year7:front.2.3,urn:cite:phoros:places.163
urn:cts:phoros:stele1.year7:front.2.4,urn:cite:phoros:places.71
urn:cts:phoros:stele1.year7:front.2.5,urn:cite:phoros:places.173
urn:cts:phoros:stele1.year7:front.2.6,urn:cite:phoros:places.46
urn:cts:phoros:stele1.year7:front.2.7,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year7:front.2.8,urn:cite:phoros:places.21
urn:cts:phoros:stele1.year7:front.2.9,urn:cite:phoros:places.2
urn:cts:phoros:stele1.year7:front.2.10,urn:cite:phoros:places.96
urn:cts:phoros:stele1.year7:front.2.11,urn:cite:phoros:places.33
urn:cts:phoros:stele1.year7:front.2.12,urn:cite:phoros:places.205
urn:cts:phoros:stele1.year7:front.2.13,urn:cite:phoros:places.12
urn:cts:phoros:stele1.year7:front.2.16,urn:cite:phoros:places.14
urn:cts:phoros:stele1.year7:front.2.17,urn:cite:phoros:places.135
urn:cts:phoros:stele1.year7:front.2.18,urn:cite:phoros:places.206
urn:cts:phoros:stele1.year7:front.2.20,urn:cite:phoros:places.49
urn:cts:phoros:stele1.year7:front.2.21,urn:cite:phoros:places.90
urn:cts:phoros:stele1.year7:front.2.22,urn:cite:phoros:places.168
urn:cts:phoros:stele1.year7:front.2.23,urn:cite:phoros:places.25
urn:cts:phoros:stele1.year7:front.2.24,urn:cite:phoros:places.167
urn:cts:phoros:stele1.year7:front.2.25,urn:cite:phoros:places.15
urn:cts:phoros:stele1.year7:front.2.26,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year7:front.2.27,urn:cite:phoros:places.52
