URN,ImageReference
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5238@0.027,0.0248,0.8969,0.7803"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.DSC_5250@0.03,0.079,0.7057,0.2271"
urn:cite:phoros:documents.stele1_year13,"urn:cite:shotimg:atl.DSC_5250@0.0821,0.219,0.8729,0.7582"
urn:cite:phoros:documents.stele1_year5,"urn:cite:shotimg:atl.DSC_5233@0.1241,0.009,0.7477,0.9851"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5238@0.0701,0.1869,0.8539,0.6263"
urn:cite:phoros:documents.stele1_year11,"urn:cite:shotimg:atl.DSC_5258@0.011,0.1875,0.7578,0.3456"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.DSC_5256@0.047,0.1166,0.8959,0.846"
urn:cite:phoros:documents.stele1_year13,"urn:cite:shotimg:atl.DSC_5255@0.0851,0.5412,0.8659,0.4273"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2914@0.0591,0.146,0.9259,0.7843"
urn:cite:phoros:documents.stele1_year2,"urn:cite:shotimg:atl.DSC_5232@0.1341,0.0135,0.7417,0.2601"
urn:cite:phoros:documents.stele1_year3,"urn:cite:shotimg:atl.DSC_5232@0.0871,0.1435,0.8488,0.4993"
urn:cite:phoros:documents.stele1_year8,"urn:cite:shotimg:atl.DSC_2901@0.2472,0.0463,0.4835,0.8969"
urn:cite:phoros:documents.stele1_year11,"urn:cite:shotimg:atl.DSC_5244@0.0531,0.2003,0.9439,0.7997"
urn:cite:phoros:documents.stele1_year11,"urn:cite:shotimg:atl.DSC_5243@0.019,0.3812,0.975,0.5949"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.DSC_5245@0.005,0.3423,0.9279,0.6577"
urn:cite:phoros:documents.stele1_year5,"urn:cite:shotimg:atl.DSC_5237@0.1401,0.1681,0.7798,0.284"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5237@0.009,0.3751,0.8158,0.6249"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5240@0.009,0.065,0.8198,0.8567"
urn:cite:phoros:documents.stele1_year3,"urn:cite:shotimg:atl.DSC_5232@0.0871,0.1435,0.8488,0.4993"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5239@0.045,0.1808,0.954,0.7415"
urn:cite:phoros:documents.stele1_year10,"urn:cite:shotimg:atl.DSC_5243@0.029,0.009,0.952,0.5994"
urn:cite:phoros:documents.stele1_year1,"urn:cite:shotimg:atl.ATL001@0.505,0.0117,0.418,0.1132"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.ATL001@0.01,0.5222,0.364,0.1744"
urn:cite:phoros:documents.stele1_year2,"urn:cite:shotimg:atl.ATL001@0.501,0.1224,0.488,0.0821"
urn:cite:phoros:documents.stele1_year9,"urn:cite:shotimg:atl.ATL001@0.017,0.0168,0.364,0.2087"
urn:cite:phoros:documents.stele1_year17,"urn:cite:shotimg:atl.ATLpl16@0.011,0.291,0.395,0.2127"
urn:cite:phoros:documents.stele1_year3,"urn:cite:shotimg:atl.ATL001@0.505,0.2037,0.36,0.1249"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.ATL001@0.497,0.6823,0.358,0.1987"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.ATL001@0.372,0.4627,0.129,0.5289"
urn:cite:phoros:documents.stele1_year4,"urn:cite:shotimg:atl.ATL001@0.502,0.3261,0.36,0.1693"
urn:cite:phoros:documents.stele1_year8,"urn:cite:shotimg:atl.ATL001@0.857,0.2037,0.143,0.4904"
urn:cite:phoros:documents.stele1_year5,"urn:cite:shotimg:atl.ATL001@0.501,0.4929,0.358,0.1903"
urn:cite:phoros:documents.stele1_year10,"urn:cite:shotimg:atl.ATL001@0.02,0.223,0.358,0.1492"
urn:cite:phoros:documents.stele1_year11,"urn:cite:shotimg:atl.ATL001@0.014,0.3713,0.362,0.1551"
urn:cite:phoros:documents.stele1_year13,"urn:cite:shotimg:atl.ATL001@0.009,0.6924,0.362,0.2163"
urn:cite:phoros:documents.stele1_year16,"urn:cite:shotimg:atl.ATLpl16@0.006,0.0473,0.177,0.2452"
urn:cite:phoros:documents.stele1_year14,"urn:cite:shotimg:atl.ATL001@0.382,0.0126,0.127,0.4602"
urn:cite:phoros:documents.stele1_year19,"urn:cite:shotimg:atl.ATLpl16@0.498,0.0724,0.404,0.2097"
urn:cite:phoros:documents.stele1_year20,"urn:cite:shotimg:atl.ATLpl16@0.498,0.2762,0.405,0.2954"
urn:cite:phoros:documents.stele1_year21,"urn:cite:shotimg:atl.ATLpl16@0.499,0.5687,0.405,0.3634"
urn:cite:phoros:documents.stele1_year22,"urn:cite:shotimg:atl.ATLpl16@0.902,0.0222,0.098,0.8538"
urn:cite:phoros:documents.stele1_year23,"urn:cite:shotimg:atl.ATLpl16@0.407,0.0074,0.095,0.6588"
urn:cite:phoros:documents.stele1_year4,"urn:cite:shotimg:atl.DSC_5232@0.0501,0.6293,0.9199,0.3707"
urn:cite:phoros:documents.stele1_year5,"urn:cite:shotimg:atl.DSC_5234@0,0.0792,0.8909,0.9208"
urn:cite:phoros:documents.stele1_year9,"urn:cite:shotimg:atl.DSC_5242@0.1291,0.0613,0.7618,0.704"
urn:cite:phoros:documents.stele1_year5,"urn:cite:shotimg:atl.DSC_5236@0.044,0.213,0.7908,0.4139"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5235@0.2753,0.0764,0.4454,0.9109"
urn:cite:phoros:documents.stele1_year8,"urn:cite:shotimg:atl.DSC_2903@0.2603,0.2217,0.6176,0.501"
urn:cite:phoros:documents.stele1_year11,"urn:cite:shotimg:atl.DSC_5245@0,0,0.8999,0.3049"
urn:cite:phoros:documents.stele1_year8,"urn:cite:shotimg:atl.DSC_2902@0.2072,0.1956,0.6446,0.6906"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2911@0.1752,0.002,0.6837,0.8828"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5236@0.1852,0.5285,0.7447,0.4401"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.DSC_5257@0.0831,0.004,0.7167,0.7837"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5241@0.2002,0.275,0.6306,0.7145"
urn:cite:phoros:documents.stele1_year7,"urn:cite:shotimg:atl.DSC_5240@0.009,0.065,0.8198,0.8567"
urn:cite:phoros:documents.stele1_year8,"urn:cite:shotimg:atl.DSC_2905@0.1892,0.1065,0.7177,0.4173"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2910@0.2593,0.0553,0.6226,0.8729"
urn:cite:phoros:documents.stele1_year12,"urn:cite:shotimg:atl.DSC_5255@0.0591,0.0723,0.9309,0.4776"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2916@0,0.0938,0.983,0.8232"
urn:cite:phoros:documents.stele1_year13,"urn:cite:shotimg:atl.DSC_5249@0.1181,0.0596,0.6977,0.8734"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2913@0.0761,0.0194,0.8408,0.9268"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2909@0.1782,0.2586,0.6547,0.565"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2918@0.0701,0.2317,0.9299,0.7459"
urn:cite:phoros:documents.stele1_year15,"urn:cite:shotimg:atl.DSC_2907@0.1732,0.0978,0.3984,0.848"
urn:cite:phoros:documents.stele1_year1,"urn:cite:shotimg:atl.DSC_5231@0,0.2825,1,0.3946"
urn:cite:phoros:documents.stele1_year4,"urn:cite:shotimg:atl.DSC_5233@0.1732,0,0.8268,0.3916"
