name,year,obols,source,lat,lon,polisUrn,urn,nameconf,amtconf
Abdera,8,100,urn:cts:phoros:stele1.year8:right.2.7,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_745,,
Abdera,4,1200,urn:cts:phoros:stele1.year4:front.1.20,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_269,,
Abdera,7,200,urn:cts:phoros:stele1.year7:front.2.12,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_538,,
Abdera,5,30,urn:cts:phoros:stele1.year5:front.4.29,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_459,,
Abdera,8,432,urn:cts:phoros:stele1.year8:right.1.95,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_725,,
Abdera,1,900,urn:cts:phoros:stele1.year1:front.5.18,40.950000000000003,24.983332999999998,urn:cite:phoros:places.52,payrec_75,,
Abydos,7,100,urn:cts:phoros:stele1.year7:front.3.35,40.194214000000002,26.411297999999999,urn:cite:phoros:places.19,payrec_596,,
Abydos,8,2400,urn:cts:phoros:stele1.year8:right.2.57,40.194214000000002,26.411297999999999,urn:cite:phoros:places.19,payrec_794,,
Abydos,1,400,urn:cts:phoros:stele1.year1:front.3.29,40.194214000000002,26.411297999999999,urn:cite:phoros:places.19,payrec_33,,
Abydos,5,600,urn:cts:phoros:stele1.year5:front.2.2,40.194214000000002,26.411297999999999,urn:cite:phoros:places.19,payrec_372,,
Abydos,8,600,urn:cts:phoros:stele1.year8:right.1.85,40.194214000000002,26.411297999999999,urn:cite:phoros:places.19,payrec_718,,
Aige,8,600,urn:cts:phoros:stele1.year8:right.2.51,39.978627000000003,23.666063999999999,urn:cite:phoros:places.143,payrec_788,,
Aige,4,900,urn:cts:phoros:stele1.year4:front.2.7,39.978627000000003,23.666063999999999,urn:cite:phoros:places.143,payrec_288,,
Aigina,4,100,urn:cts:phoros:stele1.year4:front.1.8,37.750149,23.423668000000003,urn:cite:phoros:places.80,payrec_257,,
Aigina,2,50,urn:cts:phoros:stele1.year2:.6.16,37.750149,23.423668000000003,urn:cite:phoros:places.80,payrec_123,,
Aineia,5,100,urn:cts:phoros:stele1.year5:front.4.16,40.439481000000001,22.879124000000001,urn:cite:phoros:places.182,payrec_446,,
Aineia,8,100,urn:cts:phoros:stele1.year8:right.1.20,40.439481000000001,22.879124000000001,urn:cite:phoros:places.182,payrec_656,,
Aineia,7,1200,urn:cts:phoros:stele1.year7:front.1.19,40.439481000000001,22.879124000000001,urn:cite:phoros:places.182,payrec_510,,
Ainos,4,100,urn:cts:phoros:stele1.year4:front.1.28,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_277,,
Ainos,5,100,urn:cts:phoros:stele1.year5:front.1.3,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_359,,
Ainos,3,1500,urn:cts:phoros:stele1.year3:front.5.9,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_229,,
Ainos,8,1800,urn:cts:phoros:stele1.year8:right.1.24,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_660,,
Ainos,5,200,urn:cts:phoros:stele1.year5:front.4.32,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_462,,
Ainos,8,216,urn:cts:phoros:stele1.year8:right.1.96,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_726,,
Ainos,7,600,urn:cts:phoros:stele1.year7:front.1.23,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_514,,
Ainos,2,900,urn:cts:phoros:stele1.year2:right.9.7,40.724898500000002,26.085729000000001,urn:cite:phoros:places.5,payrec_141,,
Aison,7,100,urn:cts:phoros:stele1.year7:front.1.20,39.362124999999999,22.893156500000003,urn:cite:phoros:places.162,payrec_511,,
Aison,8,1200,urn:cts:phoros:stele1.year8:right.1.21,39.362124999999999,22.893156500000003,urn:cite:phoros:places.162,payrec_657,,
Aison,5,900,urn:cts:phoros:stele1.year5:front.2.4,39.362124999999999,22.893156500000003,urn:cite:phoros:places.162,payrec_374,,
Akanthos,5,324,urn:cts:phoros:stele1.year5:front.5.11,40.399749999999997,23.880112,urn:cite:phoros:places.184,payrec_472,,
Alopekonnesos,3,50,urn:cts:phoros:stele1.year3:front.5.6,40.313938999999998,26.249544,urn:cite:phoros:places.122,payrec_226,,
Amynanda,2,7200,urn:cts:phoros:stele1.year2:.5.16,37.002222000000003,27.646106,urn:cite:phoros:places.85,payrec_113,,
Andros,4,400,urn:cts:phoros:stele1.year4:front.2.29,37.850000000000001,24.859999999999999,urn:cite:phoros:places.145,payrec_301,,
Andros,8,9720,urn:cts:phoros:stele1.year8:right.2.54,37.850000000000001,24.859999999999999,urn:cite:phoros:places.145,payrec_791,,
Aphytis,8,1200,urn:cts:phoros:stele1.year8:right.1.10,40.099366000000003,23.436606000000001,urn:cite:phoros:places.105,payrec_646,,
Aphytis,3,3600,urn:cts:phoros:stele1.year3:front.2.8,40.099366000000003,23.436606000000001,urn:cite:phoros:places.105,payrec_177,,
Aphytis,4,50,urn:cts:phoros:stele1.year4:front.2.6,40.099366000000003,23.436606000000001,urn:cite:phoros:places.105,payrec_287,,
Aphytis,7,600,urn:cts:phoros:stele1.year7:front.1.9,40.099366000000003,23.436606000000001,urn:cite:phoros:places.105,payrec_500,,
Arkaseia,5,2293,urn:cts:phoros:stele1.year5:front.3.37,35.477574400000002,27.1204377,urn:cite:phoros:places.180,payrec_430,,
Arkaseia,7,50,urn:cts:phoros:stele1.year7:front.3.7,35.477574400000002,27.1204377,urn:cite:phoros:places.180,payrec_567,,
Arkaseia,8,720,urn:cts:phoros:stele1.year8:right.2.40,35.477574400000002,27.1204377,urn:cite:phoros:places.180,payrec_777,,
Artake,3,200,urn:cts:phoros:stele1.year3:front.3.6,40.402951999999999,27.796268000000001,urn:cite:phoros:places.73,payrec_189,,
Assos,7,100,urn:cts:phoros:stele1.year7:front.3.14,39.490600999999998,26.337060999999995,urn:cite:phoros:places.35,payrec_614,,
Assos,1,1500,urn:cts:phoros:stele1.year1:front.4.25,39.490600999999998,26.337060999999995,urn:cite:phoros:places.35,payrec_54,,
Assos,5,1728,urn:cts:phoros:stele1.year5:front.3.39,39.490600999999998,26.337060999999995,urn:cite:phoros:places.35,payrec_432,,
Assos,8,1800,urn:cts:phoros:stele1.year8:right.1.73,39.490600999999998,26.337060999999995,urn:cite:phoros:places.35,payrec_706,,
Assos,5,600,urn:cts:phoros:stele1.year5:front.1.12,39.490600999999998,26.337060999999995,urn:cite:phoros:places.35,payrec_368,,
Astakos,1,100,urn:cts:phoros:stele1.year1:front.4.18,40.714557999999997,29.928794,urn:cite:phoros:places.29,payrec_47,,
Astakos,2,600,urn:cts:phoros:stele1.year2:right.10.8,40.714557999999997,29.928794,urn:cite:phoros:places.29,payrec_150,,
"Athenai,Diades",8,1200,urn:cts:phoros:stele1.year8:right.1.65,38.842284999999997,22.982897000000001,urn:cite:phoros:places.121,payrec_698,,
"Athenai,Diades",3,1800,urn:cts:phoros:stele1.year3:front.5.4,38.842284999999997,22.982897000000001,urn:cite:phoros:places.121,payrec_224,,
"Athenai,Diades",7,3600,urn:cts:phoros:stele1.year7:front.3.6,38.842284999999997,22.982897000000001,urn:cite:phoros:places.121,payrec_606,,
Azeia,5,200,urn:cts:phoros:stele1.year5:front.2.9,39.75,26.25,urn:cite:phoros:places.132,payrec_379,,
Bargylia,3,100,urn:cts:phoros:stele1.year3:front.2.6,37.195835000000002,27.589504999999999,urn:cite:phoros:places.103,payrec_175,,
Bargylia,4,40,urn:cts:phoros:stele1.year4:front.4.32,37.195835000000002,27.589504999999999,urn:cite:phoros:places.103,payrec_343,,
Bargylia,7,50,urn:cts:phoros:stele1.year7:front.2.36,37.195835000000002,27.589504999999999,urn:cite:phoros:places.103,payrec_559,,
Bargylia,8,500,urn:cts:phoros:stele1.year8:right.2.32,37.195835000000002,27.589504999999999,urn:cite:phoros:places.103,payrec_769,,
Berge,3,1800,urn:cts:phoros:stele1.year3:front.5.20,40.910981999999997,23.508247000000001,urn:cite:phoros:places.133,payrec_240,,
Berge,8,3000,urn:cts:phoros:stele1.year8:right.1.80,40.910981999999997,23.508247000000001,urn:cite:phoros:places.133,payrec_713,,
Berge,4,3600,urn:cts:phoros:stele1.year4:front.1.2,40.910981999999997,23.508247000000001,urn:cite:phoros:places.133,payrec_251,,
"Berytis,below,Mt.,Ida",8,100,urn:cts:phoros:stele1.year8:right.1.66,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_699,,
"Berytis,below,Mt.,Ida",5,15720,urn:cts:phoros:stele1.year5:front.4.39,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_466,,
"Berytis,below,Mt.,Ida",5,1800,urn:cts:phoros:stele1.year5:front.4.40,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_467,,
"Berytis,below,Mt.,Ida",2,305,urn:cts:phoros:stele1.year2:.1.14,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_99,,
"Berytis,below,Mt.,Ida",7,3600,urn:cts:phoros:stele1.year7:front.3.7,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_607,,
"Berytis,below,Mt.,Ida",2,413,urn:cts:phoros:stele1.year2:.1.13,40.504842699999998,25.534030099999999,urn:cite:phoros:places.75,payrec_98,,
Boutheia,5,1500,urn:cts:phoros:stele1.year5:front.3.35,38.327244999999998,26.307181,urn:cite:phoros:places.66,payrec_428,,
Boutheia,8,50,urn:cts:phoros:stele1.year8:right.1.49,38.327244999999998,26.307181,urn:cite:phoros:places.66,payrec_683,,
Boutheia,1,600,urn:cts:phoros:stele1.year1:front.6.15,38.327244999999998,26.307181,urn:cite:phoros:places.66,payrec_89,,
Byzantion,8,100,urn:cts:phoros:stele1.year8:right.1.67,41.005901999999999,28.973881499999997,urn:cite:phoros:places.139,payrec_700,,
Byzantion,4,1200,urn:cts:phoros:stele1.year4:front.1.32,41.005901999999999,28.973881499999997,urn:cite:phoros:places.139,payrec_281,,
Byzantion,8,324,urn:cts:phoros:stele1.year8:right.1.93,41.005901999999999,28.973881499999997,urn:cite:phoros:places.139,payrec_723,,
Byzantion,8,324,urn:cts:phoros:stele1.year8:right.1.94,41.005901999999999,28.973881499999997,urn:cite:phoros:places.139,payrec_724,,
Byzantion,7,900,urn:cts:phoros:stele1.year7:front.3.8,41.005901999999999,28.973881499999997,urn:cite:phoros:places.139,payrec_608,,
Chalketor,7,100,urn:cts:phoros:stele1.year7:front.2.9,37.349057999999999,27.685711999999999,urn:cite:phoros:places.167,payrec_535,,
Chalketor,5,1100,urn:cts:phoros:stele1.year5:front.4.11,37.349057999999999,27.685711999999999,urn:cite:phoros:places.167,payrec_441,,
Chalketor,5,600,urn:cts:phoros:stele1.year5:front.2.28,37.349057999999999,27.685711999999999,urn:cite:phoros:places.167,payrec_389,,
Chalketor,8,600,urn:cts:phoros:stele1.year8:right.1.112,37.349057999999999,27.685711999999999,urn:cite:phoros:places.167,payrec_742,,
Chalkis,7,1470,urn:cts:phoros:stele1.year7:front.3.9,40.334274000000001,27.391984000000001,urn:cite:phoros:places.215,payrec_609,,
Chalkis,8,50,urn:cts:phoros:stele1.year8:right.1.68,40.334274000000001,27.391984000000001,urn:cite:phoros:places.215,payrec_701,,
Dardanos,5,3707,urn:cts:phoros:stele1.year5:front.5.10,40.079726999999998,26.374420000000001,urn:cite:phoros:places.158,payrec_471,,
Dardanos,7,520,urn:cts:phoros:stele1.year7:front.3.3,40.079726999999998,26.374420000000001,urn:cite:phoros:places.158,payrec_603,,
"Daskyleion,in,Propontidi",2,100,urn:cts:phoros:stele1.year2:.2.2,40.377645000000001,28.674195999999998,urn:cite:phoros:places.79,payrec_104,,
"Daskyleion,in,Propontidi",3,100,urn:cts:phoros:stele1.year3:front.5.3,40.377645000000001,28.674195999999998,urn:cite:phoros:places.79,payrec_223,,
"Daskyleion,in,Propontidi",2,103,urn:cts:phoros:stele1.year2:.1.18,40.377645000000001,28.674195999999998,urn:cite:phoros:places.79,payrec_103,,
"Daskyleion,in,Propontidi",3,7200,urn:cts:phoros:stele1.year3:front.5.2,40.377645000000001,28.674195999999998,urn:cite:phoros:places.79,payrec_222,,
Daunion/Damnion,4,1000,urn:cts:phoros:stele1.year4:front.1.31,41.053505999999999,28.038408,urn:cite:phoros:places.130,payrec_280,,
Daunion/Damnion,8,300,urn:cts:phoros:stele1.year8:right.2.44,41.053505999999999,28.038408,urn:cite:phoros:places.130,payrec_781,,
Daunion/Damnion,7,3600,urn:cts:phoros:stele1.year7:front.3.12,41.053505999999999,28.038408,urn:cite:phoros:places.130,payrec_572,,
"Diduma,Teichos",7,30,urn:cts:phoros:stele1.year7:front.3.39,40.286031000000001,27.274404000000001,urn:cite:phoros:places.42,payrec_600,,
"Diduma,Teichos",8,3600,urn:cts:phoros:stele1.year8:right.2.64,40.286031000000001,27.274404000000001,urn:cite:phoros:places.42,payrec_800,,
"Diduma,Teichos",3,900,urn:cts:phoros:stele1.year3:front.2.7,40.286031000000001,27.274404000000001,urn:cite:phoros:places.42,payrec_176,,
"Dikaia,by,Abdera",3,1000,urn:cts:phoros:stele1.year3:front.3.8,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_191,,
"Dikaia,by,Abdera",5,1800,urn:cts:phoros:stele1.year5:front.4.27,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_457,,
"Dikaia,by,Abdera",4,300,urn:cts:phoros:stele1.year4:front.3.23,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_307,,
"Dikaia,by,Abdera",1,300,urn:cts:phoros:stele1.year1:front.5.16,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_73,,
"Dikaia,by,Abdera",1,300,urn:cts:phoros:stele1.year1:front.5.17,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_74,,
"Dikaia,by,Abdera",8,50,urn:cts:phoros:stele1.year8:right.2.35,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_772,,
"Dikaia,by,Abdera",7,500,urn:cts:phoros:stele1.year7:front.3.2,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_562,,
"Dikaia,by,Abdera",3,600,urn:cts:phoros:stele1.year3:front.3.7,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_190,,
"Dikaia,by,Abdera",5,600,urn:cts:phoros:stele1.year5:front.4.28,40.992870000000003,25.165652999999999,urn:cite:phoros:places.51,payrec_458,,
Ephesos,4,1800,urn:cts:phoros:stele1.year4:front.1.16,37.94583755,27.351764500000002,urn:cite:phoros:places.4,payrec_265,,
Ephesos,8,24,urn:cts:phoros:stele1.year8:right.1.101,37.94583755,27.351764500000002,urn:cite:phoros:places.4,payrec_731,,
Ephesos,2,600,urn:cts:phoros:stele1.year2:right.9.5,37.94583755,27.351764500000002,urn:cite:phoros:places.4,payrec_139,,
Erythrai,7,100,urn:cts:phoros:stele1.year7:front.3.16,38.382778000000002,26.480833000000001,urn:cite:phoros:places.198,payrec_576,,
Erythrai,8,150,urn:cts:phoros:stele1.year8:right.1.45,38.382778000000002,26.480833000000001,urn:cite:phoros:places.198,payrec_679,,
Erythrai,8,300,urn:cts:phoros:stele1.year8:right.2.104,38.382778000000002,26.480833000000001,urn:cite:phoros:places.198,payrec_814,,
Erythrai,5,600,urn:cts:phoros:stele1.year5:front.3.31,38.382778000000002,26.480833000000001,urn:cite:phoros:places.198,payrec_424,,
Eurumaxos,8,2196,urn:cts:phoros:stele1.year8:right.2.37,40.233058,25.903047000000001,urn:cite:phoros:places.209,payrec_774,,
Eurumaxos,7,30,urn:cts:phoros:stele1.year7:front.3.4,40.233058,25.903047000000001,urn:cite:phoros:places.209,payrec_564,,
Galepsos,7,3000,urn:cts:phoros:stele1.year7:front.2.33,37.862209,27.263729000000012,urn:cite:phoros:places.208,payrec_556,,
Galepsos,8,9000,urn:cts:phoros:stele1.year8:right.2.31,37.862209,27.263729000000012,urn:cite:phoros:places.208,payrec_768,,
Gargara,7,100,urn:cts:phoros:stele1.year7:front.2.17,39.535451000000002,26.542853999999995,urn:cite:phoros:places.118,payrec_541,,
Gargara,8,100,urn:cts:phoros:stele1.year8:right.2.11,39.535451000000002,26.542853999999995,urn:cite:phoros:places.118,payrec_748,,
Gargara,4,300,urn:cts:phoros:stele1.year4:front.1.25,39.535451000000002,26.542853999999995,urn:cite:phoros:places.118,payrec_274,,
Gentinos,5,600,urn:cts:phoros:stele1.year5:front.5.21,39.876942999999997,26.279146000000001,urn:cite:phoros:places.186,payrec_482,,
Gentinos,5,972,urn:cts:phoros:stele1.year5:front.5.15,39.876942999999997,26.279146000000001,urn:cite:phoros:places.186,payrec_476,,
Grynche,7,150,urn:cts:phoros:stele1.year7:front.3.37,38.401105000000001,24.159839999999999,urn:cite:phoros:places.150,payrec_598,,
Grynche,4,2400,urn:cts:phoros:stele1.year4:front.3.22,38.401105000000001,24.159839999999999,urn:cite:phoros:places.150,payrec_306,,
Grynche,8,360,urn:cts:phoros:stele1.year8:right.2.59,38.401105000000001,24.159839999999999,urn:cite:phoros:places.150,payrec_796,,
Gryneion,7,100,urn:cts:phoros:stele1.year7:front.1.2,38.874665,27.069172999999999,urn:cite:phoros:places.97,payrec_493,,
Gryneion,2,10800,urn:cts:phoros:stele1.year2:right.10.6,38.874665,27.069172999999999,urn:cite:phoros:places.97,payrec_148,,
Gryneion,4,1200,urn:cts:phoros:stele1.year4:front.1.30,38.874665,27.069172999999999,urn:cite:phoros:places.97,payrec_279,,
Gryneion,7,2400,urn:cts:phoros:stele1.year7:front.3.39,38.874665,27.069172999999999,urn:cite:phoros:places.97,payrec_639,,
Halikarnassos,4,160,urn:cts:phoros:stele1.year4:front.3.29,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_313,,
Halikarnassos,7,250,urn:cts:phoros:stele1.year7:front.3.32,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_632,,
Halikarnassos,1,300,urn:cts:phoros:stele1.year1:front.4.29,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_58,,
Halikarnassos,3,40,urn:cts:phoros:stele1.year3:front.4.28,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_218,,
Halikarnassos,5,50,urn:cts:phoros:stele1.year5:front.4.14,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_444,,
Halikarnassos,5,56,urn:cts:phoros:stele1.year5:front.5.25,37.038220500000001,27.423765,urn:cite:phoros:places.38,payrec_486,,
Hephaistia,8,100,urn:cts:phoros:stele1.year8:right.1.83,39.965475499999997,25.322257,urn:cite:phoros:places.94,payrec_716,,
Hephaistia,2,250,urn:cts:phoros:stele1.year2:right.8.14,39.965475499999997,25.322257,urn:cite:phoros:places.94,payrec_131,,
Hephaistia,8,50,urn:cts:phoros:stele1.year8:right.2.107,39.965475499999997,25.322257,urn:cite:phoros:places.94,payrec_817,,
Hestiaia,7,1800,urn:cts:phoros:stele1.year7:front.2.31,38.946604000000001,23.090527000000002,urn:cite:phoros:places.196,payrec_554,,
Hestiaia,8,6000,urn:cts:phoros:stele1.year8:right.2.27,38.946604000000001,23.090527000000002,urn:cite:phoros:places.196,payrec_764,,
Ialysos,5,100,urn:cts:phoros:stele1.year5:front.3.13,36.41451,28.156289999999998,urn:cite:phoros:places.128,payrec_408,,
Ialysos,7,150,urn:cts:phoros:stele1.year7:front.2.25,36.41451,28.156289999999998,urn:cite:phoros:places.128,payrec_548,,
Ialysos,5,3600,urn:cts:phoros:stele1.year5:front.2.10,36.41451,28.156289999999998,urn:cite:phoros:places.128,payrec_380,,
Ialysos,3,4501,urn:cts:phoros:stele1.year3:front.5.19,36.41451,28.156289999999998,urn:cite:phoros:places.128,payrec_239,,
Ialysos,8,900,urn:cts:phoros:stele1.year8:right.2.18,36.41451,28.156289999999998,urn:cite:phoros:places.128,payrec_755,,
Iasos,8,324,urn:cts:phoros:stele1.year8:right.1.102,37.279525,27.584578000000004,urn:cite:phoros:places.199,payrec_732,,
Idyma,8,200,urn:cts:phoros:stele1.year8:right.1.13,37.059443000000002,28.367318999999998,urn:cite:phoros:places.204,payrec_649,,
Idyma,7,600,urn:cts:phoros:stele1.year7:front.1.12,37.059443000000002,28.367318999999998,urn:cite:phoros:places.204,payrec_503,,
Ikos,7,100,urn:cts:phoros:stele1.year7:front.3.24,39.163500999999997,23.900777000000001,urn:cite:phoros:places.157,payrec_584,,
Ikos,4,40,urn:cts:phoros:stele1.year4:front.5.25,39.163500999999997,23.900777000000001,urn:cite:phoros:places.157,payrec_349,,
Ikos,8,5400,urn:cts:phoros:stele1.year8:right.1.56,39.163500999999997,23.900777000000001,urn:cite:phoros:places.157,payrec_690,,
Imbros,8,250,urn:cts:phoros:stele1.year8:right.2.106,40.233058,25.903047000000001,urn:cite:phoros:places.218,payrec_816,,
Ios,2,103,urn:cts:phoros:stele1.year2:.1.16,36.723334999999999,25.282229000000001,urn:cite:phoros:places.77,payrec_101,,
Ios,3,1800,urn:cts:phoros:stele1.year3:front.3.5,36.723334999999999,25.282229000000001,urn:cite:phoros:places.77,payrec_188,,
